自助重复,结果类型,项目,数值
267,原尺度边际效应（百分点）,妇间BMI,-0.13584842307799158
267,原尺度边际效应（百分点）,孕周平均,0.3281841869685824
267,链接尺度参数,BMI个体内偏差,-0.03623479563767558
267,链接尺度参数,妇间BMI中心化,-0.022450087352477475
267,链接尺度参数,孕周中心化,0.046721762225979686
267,链接尺度参数,孕周二次项,0.005124189429761134
267,链接尺度参数,年龄中心化,-0.025246723806481568
267,链接尺度参数,截距,-2.7847169441487245
267,链接尺度参数,生产次数中心化,0.1604103996901745
268,原尺度边际效应（百分点）,个体内BMI,-0.028216745697572043
268,原尺度边际效应（百分点）,妇间BMI,-0.24722929136285224
268,原尺度边际效应（百分点）,孕周平均,0.3590919542478416
268,链接尺度参数,BMI个体内偏差,-0.004253628176870923
268,链接尺度参数,妇间BMI中心化,-0.037269410553583
268,链接尺度参数,孕周中心化,0.04830843998038173
268,链接尺度参数,孕周二次项,0.003773741755893145
268,链接尺度参数,年龄中心化,-0.0029426140941691066
268,链接尺度参数,截距,-2.6539491336874965
268,链接尺度参数,生产次数中心化,0.1473308923519434
269,原尺度边际效应（百分点）,个体内BMI,-0.20696136039157817
269,原尺度边际效应（百分点）,妇间BMI,-0.13590809909749993
269,原尺度边际效应（百分点）,孕周平均,0.323134849097133
269,链接尺度参数,BMI个体内偏差,-0.03160628876401621
269,链接尺度参数,妇间BMI中心化,-0.020755326585198224
269,链接尺度参数,孕周中心化,0.04168553239504131
269,链接尺度参数,孕周二次项,0.005866637096925228
269,链接尺度参数,年龄中心化,-0.016276440423051604
269,链接尺度参数,截距,-2.703076898589873
269,链接尺度参数,生产次数中心化,0.22768100173846323
270,原尺度边际效应（百分点）,个体内BMI,-0.27225122080769637
270,原尺度边际效应（百分点）,妇间BMI,-0.2082739656606258
270,原尺度边际效应（百分点）,孕周平均,0.28535468674594683
270,链接尺度参数,BMI个体内偏差,-0.04197631466740192
270,链接尺度参数,妇间BMI中心化,-0.03211215543372486
270,链接尺度参数,孕周中心化,0.038580255322360146
270,链接尺度参数,孕周二次项,0.004644261600069486
270,链接尺度参数,年龄中心化,-0.022589071732160747
270,链接尺度参数,截距,-2.6912357341716224
270,链接尺度参数,生产次数中心化,0.12795393396406832
271,原尺度边际效应（百分点）,个体内BMI,0.0020654472577402716
271,原尺度边际效应（百分点）,妇间BMI,-0.085853638552966
271,原尺度边际效应（百分点）,孕周平均,0.34279663597317006
271,链接尺度参数,BMI个体内偏差,0.0003335368167329109
271,链接尺度参数,妇间BMI中心化,-0.013863994445069036
271,链接尺度参数,孕周中心化,0.04628831120329667
271,链接尺度参数,孕周二次项,0.005754893573445999
271,链接尺度参数,年龄中心化,-0.02407098234525585
271,链接尺度参数,截距,-2.7702648392813325
271,链接尺度参数,生产次数中心化,0.17090155199494916
272,原尺度边际效应（百分点）,个体内BMI,0.061758319359627604
272,原尺度边际效应（百分点）,妇间BMI,-0.14800255666874573
272,原尺度边际效应（百分点）,孕周平均,0.29292876170038296
272,链接尺度参数,BMI个体内偏差,0.010045031471097449
272,链接尺度参数,妇间BMI中心化,-0.024072713683855648
272,链接尺度参数,孕周中心化,0.04138691178396664
272,链接尺度参数,孕周二次项,0.004400230254544511
272,链接尺度参数,年龄中心化,-0.016615347917575973
272,链接尺度参数,截距,-2.7499011409718377
272,链接尺度参数,生产次数中心化,0.1328354824345127
273,原尺度边际效应（百分点）,个体内BMI,0.10885906871646762
273,原尺度边际效应（百分点）,妇间BMI,-0.16730399833777965
273,原尺度边际效应（百分点）,孕周平均,0.33466282345821247
273,链接尺度参数,BMI个体内偏差,0.016767123953458262
273,链接尺度参数,妇间BMI中心化,-0.025769161091623135
273,链接尺度参数,孕周中心化,0.046504397719722285
273,链接尺度参数,孕周二次项,0.003269069845294358
273,链接尺度参数,年龄中心化,-0.012030451185918138
273,链接尺度参数,截距,-2.6727348959026944
273,链接尺度参数,生产次数中心化,0.2760036220797458
274,原尺度边际效应（百分点）,个体内BMI,-0.3443971208911478
274,原尺度边际效应（百分点）,妇间BMI,-0.14707399769949134
274,原尺度边际效应（百分点）,孕周平均,0.31785374140093725
274,链接尺度参数,BMI个体内偏差,-0.05683813306103312
274,链接尺度参数,妇间BMI中心化,-0.024272593886474136
274,链接尺度参数,孕周中心化,0.046350745571622574
274,链接尺度参数,孕周二次项,0.00443503159189023
274,链接尺度参数,年龄中心化,-0.03297343504913084
274,链接尺度参数,截距,-2.772414750765037
274,链接尺度参数,生产次数中心化,0.1750010424105456
275,原尺度边际效应（百分点）,个体内BMI,-0.0852409825551758
275,原尺度边际效应（百分点）,妇间BMI,-0.1328013510213288
275,原尺度边际效应（百分点）,孕周平均,0.3328149060931036
275,链接尺度参数,BMI个体内偏差,-0.013603519285933731
275,链接尺度参数,妇间BMI中心化,-0.021193628764747355
275,链接尺度参数,孕周中心化,0.04595181483298524
275,链接尺度参数,孕周二次项,0.004809875699919303
275,链接尺度参数,年龄中心化,-0.0103081647751703
275,链接尺度参数,截距,-2.735635877164667
275,链接尺度参数,生产次数中心化,0.16865224069862558
276,原尺度边际效应（百分点）,个体内BMI,-0.11610350024826192
276,原尺度边际效应（百分点）,妇间BMI,-0.10868852509464172
276,原尺度边际效应（百分点）,孕周平均,0.3204749110561877
276,链接尺度参数,BMI个体内偏差,-0.018572895286721923
276,链接尺度参数,妇间BMI中心化,-0.01738673331238563
276,链接尺度参数,孕周中心化,0.044939078646066624
276,链接尺度参数,孕周二次项,0.004373380410487798
276,链接尺度参数,年龄中心化,-0.029145759341543967
276,链接尺度参数,截距,-2.7332064834640826
276,链接尺度参数,生产次数中心化,0.13645353890066558
277,原尺度边际效应（百分点）,个体内BMI,-0.5524082073419189
277,原尺度边际效应（百分点）,妇间BMI,-0.13175429057883958
277,原尺度边际效应（百分点）,孕周平均,0.3379642632385893
277,链接尺度参数,BMI个体内偏差,-0.08822379622150747
277,链接尺度参数,妇间BMI中心化,-0.02104216325689403
277,链接尺度参数,孕周中心化,0.04840259392492777
277,链接尺度参数,孕周二次项,0.0041931681398007445
277,链接尺度参数,年龄中心化,-0.019036655308516618
277,链接尺度参数,截距,-2.724740010315581
277,链接尺度参数,生产次数中心化,0.1509206576080778
278,原尺度边际效应（百分点）,个体内BMI,-0.48582640443395225
278,原尺度边际效应（百分点）,妇间BMI,-0.12925661159097177
278,原尺度边际效应（百分点）,孕周平均,0.35730280310849805
278,链接尺度参数,BMI个体内偏差,-0.07558237813949203
278,链接尺度参数,妇间BMI中心化,-0.02010908012643112
278,链接尺度参数,孕周中心化,0.048405979092790416
278,链接尺度参数,孕周二次项,0.005215481061433377
278,链接尺度参数,年龄中心化,-0.002718780453287519
278,链接尺度参数,截距,-2.7100451528296996
278,链接尺度参数,生产次数中心化,0.11293572373061847
279,原尺度边际效应（百分点）,个体内BMI,-0.14815157905402815
279,原尺度边际效应（百分点）,妇间BMI,-0.15936884541846608
279,原尺度边际效应（百分点）,孕周平均,0.3663614857501512
279,链接尺度参数,BMI个体内偏差,-0.02365131648858824
279,链接尺度参数,妇间BMI中心化,-0.02544207105641749
279,链接尺度参数,孕周中心化,0.04940855702570024
279,链接尺度参数,孕周二次项,0.005796210979948252
279,链接尺度参数,年龄中心化,0.012434906881384789
279,链接尺度参数,截距,-2.7570127145980714
279,链接尺度参数,生产次数中心化,0.1982585209889257
280,原尺度边际效应（百分点）,个体内BMI,-0.12086892642985901
280,原尺度边际效应（百分点）,妇间BMI,-0.13961947711123096
280,原尺度边际效应（百分点）,孕周平均,0.255631588262206
280,链接尺度参数,BMI个体内偏差,-0.02035585316530362
280,链接尺度参数,妇间BMI中心化,-0.023513682623316417
280,链接尺度参数,孕周中心化,0.03887068319347308
280,链接尺度参数,孕周二次项,0.0033832825765028893
280,链接尺度参数,年龄中心化,-0.01728286320888744
280,链接尺度参数,截距,-2.7685802023818713
280,链接尺度参数,生产次数中心化,0.1428682472118387
281,原尺度边际效应（百分点）,个体内BMI,-0.04102615677993557
281,原尺度边际效应（百分点）,妇间BMI,-0.12645142635260223
281,原尺度边际效应（百分点）,孕周平均,0.3919668207566835
281,链接尺度参数,BMI个体内偏差,-0.006118402837334821
281,链接尺度参数,妇间BMI中心化,-0.01885823158944238
281,链接尺度参数,孕周中心化,0.05170208371858255
281,链接尺度参数,孕周二次项,0.004079901477745623
281,链接尺度参数,年龄中心化,-0.00873089923838732
281,链接尺度参数,截距,-2.645895231549349
281,链接尺度参数,生产次数中心化,0.15143532315137304
282,原尺度边际效应（百分点）,个体内BMI,0.005033205967029637
282,原尺度边际效应（百分点）,妇间BMI,-0.10632783793968037
282,原尺度边际效应（百分点）,孕周平均,0.36270107117543804
282,链接尺度参数,BMI个体内偏差,0.0007837239903707031
282,链接尺度参数,妇间BMI中心化,-0.016556381356822202
282,链接尺度参数,孕周中心化,0.04959669674498346
282,链接尺度参数,孕周二次项,0.004213725708730481
282,链接尺度参数,年龄中心化,-0.025300870625362678
282,链接尺度参数,截距,-2.7022836034947155
282,链接尺度参数,生产次数中心化,0.19163116851465625
283,原尺度边际效应（百分点）,个体内BMI,0.07227176972206893
283,原尺度边际效应（百分点）,妇间BMI,-0.17271231095182074
283,原尺度边际效应（百分点）,孕周平均,0.30126069879957607
283,链接尺度参数,BMI个体内偏差,0.011400763244469847
283,链接尺度参数,妇间BMI中心化,-0.02724510793272707
283,链接尺度参数,孕周中心化,0.04269348181580263
283,链接尺度参数,孕周二次项,0.0033714721875452605
283,链接尺度参数,年龄中心化,-0.014591367938354098
283,链接尺度参数,截距,-2.6968033091965675
283,链接尺度参数,生产次数中心化,0.16260061800296588
284,原尺度边际效应（百分点）,个体内BMI,-0.017042126931194442
284,原尺度边际效应（百分点）,妇间BMI,-0.14446727423171166
284,原尺度边际效应（百分点）,孕周平均,0.3163171745307278
284,链接尺度参数,BMI个体内偏差,-0.0027660953721131993
284,链接尺度参数,妇间BMI中心化,-0.023448379435708044
284,链接尺度参数,孕周中心化,0.04410178752273823
284,链接尺度参数,孕周二次项,0.004942184976841184
284,链接尺度参数,年龄中心化,-0.008751906897876645
284,链接尺度参数,截距,-2.758846504748932
284,链接尺度参数,生产次数中心化,0.2167535886313145
285,原尺度边际效应（百分点）,个体内BMI,0.061536650953084956
285,原尺度边际效应（百分点）,妇间BMI,-0.1262342284978202
285,原尺度边际效应（百分点）,孕周平均,0.3297249274853298
285,链接尺度参数,BMI个体内偏差,0.010010466836933475
285,链接尺度参数,妇间BMI中心化,-0.020535137003583743
285,链接尺度参数,孕周中心化,0.0474160335773167
285,链接尺度参数,孕周二次项,0.003894657380490346
285,链接尺度参数,年龄中心化,-0.014674773265584227
285,链接尺度参数,截距,-2.743797199278597
285,链接尺度参数,生产次数中心化,0.1550197030163245
286,原尺度边际效应（百分点）,个体内BMI,-0.29861270074841656
286,原尺度边际效应（百分点）,妇间BMI,-0.14554025395349324
286,原尺度边际效应（百分点）,孕周平均,0.3310789233241461
286,链接尺度参数,BMI个体内偏差,-0.04832094869982152
286,链接尺度参数,妇间BMI中心化,-0.023551051671344674
286,链接尺度参数,孕周中心化,0.04752518716625897
286,链接尺度参数,孕周二次项,0.004223083075904947
286,链接尺度参数,年龄中心化,-0.0257020410219528
286,链接尺度参数,截距,-2.7435576694220316
286,链接尺度参数,生产次数中心化,0.13045248183617084
287,原尺度边际效应（百分点）,个体内BMI,-0.11827363393605345
287,原尺度边际效应（百分点）,妇间BMI,-0.13048606435198645
287,原尺度边际效应（百分点）,孕周平均,0.293039730458436
287,链接尺度参数,BMI个体内偏差,-0.0184631194195473
287,链接尺度参数,妇间BMI中心化,-0.020369542293931894
287,链接尺度参数,孕周中心化,0.04031364831338788
287,链接尺度参数,孕周二次项,0.004240581748897523
287,链接尺度参数,年龄中心化,-0.03024350534478056
287,链接尺度参数,截距,-2.703006124091695
287,链接尺度参数,生产次数中心化,0.2558454240367312
288,原尺度边际效应（百分点）,个体内BMI,0.0017627333345662708
288,原尺度边际效应（百分点）,妇间BMI,-0.13756649998910878
288,原尺度边际效应（百分点）,孕周平均,0.33678198106697504
288,链接尺度参数,BMI个体内偏差,0.00028266941934695423
288,链接尺度参数,妇间BMI中心化,-0.02205996897601202
288,链接尺度参数,孕周中心化,0.04770221384921681
288,链接尺度参数,孕周二次项,0.004005980230414292
288,链接尺度参数,年龄中心化,-0.013841544939441057
288,链接尺度参数,截距,-2.728784139954359
288,链接尺度参数,生产次数中心化,0.15535967222059366
289,原尺度边际效应（百分点）,个体内BMI,-0.04594633533161819
289,原尺度边际效应（百分点）,妇间BMI,-0.13765239830328763
289,原尺度边际效应（百分点）,孕周平均,0.30160961919098883
289,链接尺度参数,BMI个体内偏差,-0.007320211723395368
289,链接尺度参数,妇间BMI中心化,-0.02193090466389817
289,链接尺度参数,孕周中心化,0.041948756501842814
289,链接尺度参数,孕周二次项,0.004449438782826168
289,链接尺度参数,年龄中心化,-0.013896658192911018
289,链接尺度参数,截距,-2.7270411869662627
289,链接尺度参数,生产次数中心化,0.2167603318228259
290,原尺度边际效应（百分点）,个体内BMI,0.07971965804090943
290,原尺度边际效应（百分点）,妇间BMI,-0.14587884925448255
290,原尺度边际效应（百分点）,孕周平均,0.33618694345810973
290,链接尺度参数,BMI个体内偏差,0.012798483376065907
290,链接尺度参数,妇间BMI中心化,-0.023419920167557964
290,链接尺度参数,孕周中心化,0.04804075119668742
290,链接尺度参数,孕周二次项,0.0036632831028024578
290,链接尺度参数,年龄中心化,-0.019654283095688806
290,链接尺度参数,截距,-2.7261885777203325
290,链接尺度参数,生产次数中心化,0.14097848338016186
291,原尺度边际效应（百分点）,个体内BMI,-0.14479877692521637
291,原尺度边际效应（百分点）,妇间BMI,-0.19785952241937144
291,原尺度边际效应（百分点）,孕周平均,0.31066338642902297
291,链接尺度参数,BMI个体内偏差,-0.02331644322438715
291,链接尺度参数,妇间BMI中心化,-0.03186063044771631
291,链接尺度参数,孕周中心化,0.04418512555849729
291,链接尺度参数,孕周二次项,0.00420719289818521
291,链接尺度参数,年龄中心化,-0.01769357226792927
291,链接尺度参数,截距,-2.7379279113175903
291,链接尺度参数,生产次数中心化,0.21435078562977475
292,原尺度边际效应（百分点）,个体内BMI,-0.1688610082302755
292,原尺度边际效应（百分点）,妇间BMI,-0.23415570365784127
292,原尺度边际效应（百分点）,孕周平均,0.3250152931271172
292,链接尺度参数,BMI个体内偏差,-0.026148831575880514
292,链接尺度参数,妇间BMI中心化,-0.036259987558115804
292,链接尺度参数,孕周中心化,0.04270322311778582
292,链接尺度参数,孕周二次项,0.005623672923440994
292,链接尺度参数,年龄中心化,-0.01209999820005452
292,链接尺度参数,截距,-2.7158797072294667
292,链接尺度参数,生产次数中心化,0.12859699909959676
293,原尺度边际效应（百分点）,个体内BMI,-0.027833171896210495
293,原尺度边际效应（百分点）,妇间BMI,-0.1968446121767055
293,原尺度边际效应（百分点）,孕周平均,0.3758117105843023
293,链接尺度参数,BMI个体内偏差,-0.004284849264897149
293,链接尺度参数,妇间BMI中心化,-0.030303750321003027
293,链接尺度参数,孕周中心化,0.04940727736813784
293,链接尺度参数,孕周二次项,0.005208267213264303
293,链接尺度参数,年龄中心化,-0.019023372878426557
293,链接尺度参数,截距,-2.7072993518129045
293,链接尺度参数,生产次数中心化,0.18285778184847432
294,原尺度边际效应（百分点）,个体内BMI,-0.26789866802401946
294,原尺度边际效应（百分点）,妇间BMI,-0.06731058513836798
294,原尺度边际效应（百分点）,孕周平均,0.3613223794573122
294,链接尺度参数,BMI个体内偏差,-0.041647383762812705
294,链接尺度参数,妇间BMI中心化,-0.010464067594041742
294,链接尺度参数,孕周中心化,0.04789075578266442
294,链接尺度参数,孕周二次项,0.00559780675354033
294,链接尺度参数,年龄中心化,-0.014977547061298632
294,链接尺度参数,截距,-2.718712174423746
294,链接尺度参数,生产次数中心化,0.1528715182610652
295,原尺度边际效应（百分点）,个体内BMI,-0.42014581472908
295,原尺度边际效应（百分点）,妇间BMI,-0.11713715554409745
295,原尺度边际效应（百分点）,孕周平均,0.3248800332012142
295,链接尺度参数,BMI个体内偏差,-0.06647410599844764
295,链接尺度参数,妇间BMI中心化,-0.018533060240088214
295,链接尺度参数,孕周中心化,0.04682468556196909
295,链接尺度参数,孕周二次项,0.003437695584262747
295,链接尺度参数,年龄中心化,-0.019276420224535053
295,链接尺度参数,截距,-2.699333645620939
295,链接尺度参数,生产次数中心化,0.1373986858523671
296,原尺度边际效应（百分点）,个体内BMI,-0.05462770470289097
296,原尺度边际效应（百分点）,妇间BMI,-0.18526617979810373
296,原尺度边际效应（百分点）,孕周平均,0.2853438780445793
296,链接尺度参数,BMI个体内偏差,-0.008642944851797212
296,链接尺度参数,妇间BMI中心化,-0.029311965121123183
296,链接尺度参数,孕周中心化,0.04032062811157164
296,链接尺度参数,孕周二次项,0.0037260676761052057
296,链接尺度参数,年龄中心化,0.001595174794279273
296,链接尺度参数,截距,-2.7030140116111574
296,链接尺度参数,生产次数中心化,0.16347445349362238
297,原尺度边际效应（百分点）,个体内BMI,-0.021220987773430046
297,原尺度边际效应（百分点）,妇间BMI,-0.13554071159344983
297,原尺度边际效应（百分点）,孕周平均,0.37574041784896883
297,链接尺度参数,BMI个体内偏差,-0.0032337763338663584
297,链接尺度参数,妇间BMI中心化,-0.020654474245307846
297,链接尺度参数,孕周中心化,0.04856107429638026
297,链接尺度参数,孕周二次项,0.005415913072770292
297,链接尺度参数,年龄中心化,-0.03093450508077169
297,链接尺度参数,截距,-2.7010419925245084
297,链接尺度参数,生产次数中心化,0.21277305759962967
298,原尺度边际效应（百分点）,个体内BMI,-0.02449930630331381
298,原尺度边际效应（百分点）,妇间BMI,-0.18505588424465022
298,原尺度边际效应（百分点）,孕周平均,0.36303276766866127
298,链接尺度参数,BMI个体内偏差,-0.0038463636241877347
298,链接尺度参数,妇间BMI中心化,-0.029053566365846065
298,链接尺度参数,孕周中心化,0.05034472089411331
298,链接尺度参数,孕周二次项,0.004045396976342441
298,链接尺度参数,年龄中心化,-0.022102319742295623
298,链接尺度参数,截距,-2.709125644677978
298,链接尺度参数,生产次数中心化,0.09546949104245679
299,原尺度边际效应（百分点）,个体内BMI,0.11013261698210614
299,原尺度边际效应（百分点）,妇间BMI,-0.14914864557065893
299,原尺度边际效应（百分点）,孕周平均,0.3388074385258218
299,链接尺度参数,BMI个体内偏差,0.017604692695423883
299,链接尺度参数,妇间BMI中心化,-0.02384140269396087
299,链接尺度参数,孕周中心化,0.04681425676471351
299,链接尺度参数,孕周二次项,0.004565966691040751
299,链接尺度参数,年龄中心化,-0.018086899368998318
299,链接尺度参数,截距,-2.737945149514232
299,链接尺度参数,生产次数中心化,0.19032243123349527
300,原尺度边际效应（百分点）,个体内BMI,-0.45608482270205
300,原尺度边际效应（百分点）,妇间BMI,-0.20328885821853143
300,原尺度边际效应（百分点）,孕周平均,0.32906214933037314
300,链接尺度参数,BMI个体内偏差,-0.07189039481426203
300,链接尺度参数,妇间BMI中心化,-0.03204341725753523
300,链接尺度参数,孕周中心化,0.04447581298065113
300,链接尺度参数,孕周二次项,0.00574094291673071
300,链接尺度参数,年龄中心化,-0.0373105531804821
300,链接尺度参数,截距,-2.7446343773098976
300,链接尺度参数,生产次数中心化,0.15784625462777307
301,原尺度边际效应（百分点）,个体内BMI,0.03675479647101726
301,原尺度边际效应（百分点）,妇间BMI,-0.07809856525908292
301,原尺度边际效应（百分点）,孕周平均,0.2707988869257274
301,链接尺度参数,BMI个体内偏差,0.006108504067001309
301,链接尺度参数,妇间BMI中心化,-0.012979677465722381
301,链接尺度参数,孕周中心化,0.0405782241997862
301,链接尺度参数,孕周二次项,0.0032548438016297364
301,链接尺度参数,年龄中心化,-0.013125749944788039
301,链接尺度参数,截距,-2.752704078155321
301,链接尺度参数,生产次数中心化,0.2121346006673902
302,原尺度边际效应（百分点）,个体内BMI,0.06828595918556406
302,原尺度边际效应（百分点）,妇间BMI,-0.15289434201419122
302,原尺度边际效应（百分点）,孕周平均,0.3618867269527434
302,链接尺度参数,BMI个体内偏差,0.010120966347103535
302,链接尺度参数,妇间BMI中心化,-0.022661151847967347
302,链接尺度参数,孕周中心化,0.04504053246467132
302,链接尺度参数,孕周二次项,0.005599202196951234
302,链接尺度参数,年龄中心化,-0.019291551760871523
302,链接尺度参数,截距,-2.6660579877376174
302,链接尺度参数,生产次数中心化,0.14374310012377076
303,原尺度边际效应（百分点）,个体内BMI,-0.2757671289867705
303,原尺度边际效应（百分点）,妇间BMI,-0.3283511915559416
303,原尺度边际效应（百分点）,孕周平均,0.3483473247708744
303,链接尺度参数,BMI个体内偏差,-0.04104619917619169
303,链接尺度参数,妇间BMI中心化,-0.048873005487871685
303,链接尺度参数,孕周中心化,0.04522930639415312
303,链接尺度参数,孕周二次项,0.004875495735104178
303,链接尺度参数,年龄中心化,-0.03197773223275945
303,链接尺度参数,截距,-2.666382361286812
303,链接尺度参数,生产次数中心化,0.21584081300499092
304,原尺度边际效应（百分点）,个体内BMI,-0.23057618709237596
304,原尺度边际效应（百分点）,妇间BMI,-0.19719404579622812
304,原尺度边际效应（百分点）,孕周平均,0.2559509365001516
304,链接尺度参数,BMI个体内偏差,-0.037388064415104075
304,链接尺度参数,妇间BMI中心化,-0.03197513056086154
304,链接尺度参数,孕周中心化,0.035365876005037974
304,链接尺度参数,孕周二次项,0.005596153386454067
304,链接尺度参数,年龄中心化,-0.010881109917751475
304,链接尺度参数,截距,-2.76440547486249
304,链接尺度参数,生产次数中心化,0.1750644206526799
305,原尺度边际效应（百分点）,个体内BMI,-0.020685999413098354
305,原尺度边际效应（百分点）,妇间BMI,-0.14236889251861554
305,原尺度边际效应（百分点）,孕周平均,0.3106674296648207
305,链接尺度参数,BMI个体内偏差,-0.0034215023810660245
305,链接尺度参数,妇间BMI中心化,-0.023548076890775455
305,链接尺度参数,孕周中心化,0.04326856056142309
305,链接尺度参数,孕周二次项,0.005575724768577001
305,链接尺度参数,年龄中心化,0.00033724452118390766
305,链接尺度参数,截距,-2.789606229812582
305,链接尺度参数,生产次数中心化,0.16003267470311328
306,原尺度边际效应（百分点）,个体内BMI,0.12816976216895035
306,原尺度边际效应（百分点）,妇间BMI,-0.194096053623407
306,原尺度边际效应（百分点）,孕周平均,0.2902327101570122
306,链接尺度参数,BMI个体内偏差,0.02035706073155442
306,链接尺度参数,妇间BMI中心化,-0.030828060257756654
306,链接尺度参数,孕周中心化,0.042044391428030826
306,链接尺度参数,孕周二次项,0.0028362389745172334
306,链接尺度参数,年龄中心化,-0.015475239693682216
306,链接尺度参数,截距,-2.696208571635989
306,链接尺度参数,生产次数中心化,0.16908369020068906
307,原尺度边际效应（百分点）,个体内BMI,-0.6540487538050823
307,原尺度边际效应（百分点）,妇间BMI,-0.0899563379711753
307,原尺度边际效应（百分点）,孕周平均,0.4149526199768533
307,链接尺度参数,BMI个体内偏差,-0.10095395227370703
307,链接尺度参数,妇间BMI中心化,-0.013884970802904267
307,链接尺度参数,孕周中心化,0.054542919194478096
307,链接尺度参数,孕周二次项,0.0062857499872888785
307,链接尺度参数,年龄中心化,-0.008142907545564869
307,链接尺度参数,截距,-2.723668437485355
307,链接尺度参数,生产次数中心化,0.1387841661139808
308,原尺度边际效应（百分点）,个体内BMI,-0.11071871259553867
308,原尺度边际效应（百分点）,妇间BMI,-0.12967762148383177
308,原尺度边际效应（百分点）,孕周平均,0.3068552408358524
308,链接尺度参数,BMI个体内偏差,-0.018010215067493902
308,链接尺度参数,妇间BMI中心化,-0.021094192640196817
308,链接尺度参数,孕周中心化,0.04492563179855648
308,链接尺度参数,孕周二次项,0.003510009623252126
308,链接尺度参数,年龄中心化,-0.00552700890853777
308,链接尺度参数,截距,-2.7317973186992845
308,链接尺度参数,生产次数中心化,0.1400107213118288
309,原尺度边际效应（百分点）,个体内BMI,0.003605923967703116
309,原尺度边际效应（百分点）,妇间BMI,-0.19460810269950876
309,原尺度边际效应（百分点）,孕周平均,0.336010253126066
309,链接尺度参数,BMI个体内偏差,0.0005796634806013094
309,链接尺度参数,妇间BMI中心化,-0.03128385711245867
309,链接尺度参数,孕周中心化,0.045504197607801986
309,链接尺度参数,孕周二次项,0.005515391139098006
309,链接尺度参数,年龄中心化,-0.029779409812880638
309,链接尺度参数,截距,-2.7642610629370115
309,链接尺度参数,生产次数中心化,0.14675753727916366
310,原尺度边际效应（百分点）,个体内BMI,-0.06389077986785532
310,原尺度边际效应（百分点）,妇间BMI,-0.17219041018641137
310,原尺度边际效应（百分点）,孕周平均,0.3198502760489447
310,链接尺度参数,BMI个体内偏差,-0.010318359775474191
310,链接尺度参数,妇间BMI中心化,-0.027808748083285987
310,链接尺度参数,孕周中心化,0.04472712871580935
310,链接尺度参数,孕周二次项,0.00472225563720004
310,链接尺度参数,年龄中心化,-0.016744488426091674
310,链接尺度参数,截距,-2.7490793480173386
310,链接尺度参数,生产次数中心化,0.12805176158093629
311,原尺度边际效应（百分点）,个体内BMI,-0.15296258788212452
311,原尺度边际效应（百分点）,妇间BMI,-0.18442738189100413
311,原尺度边际效应（百分点）,孕周平均,0.29170409528624763
311,链接尺度参数,BMI个体内偏差,-0.0247095493896071
311,链接尺度参数,妇间BMI中心化,-0.029792366648134155
311,链接尺度参数,孕周中心化,0.04139709815553286
311,链接尺度参数,孕周二次项,0.004409904657434998
311,链接尺度参数,年龄中心化,-0.005721790683104357
311,链接尺度参数,截距,-2.7409691701429737
311,链接尺度参数,生产次数中心化,0.1946513280292723
312,原尺度边际效应（百分点）,个体内BMI,-0.13154565727710443
312,原尺度边际效应（百分点）,妇间BMI,-0.24054160291666357
312,原尺度边际效应（百分点）,孕周平均,0.2948243545871214
312,链接尺度参数,BMI个体内偏差,-0.021310503431151474
312,链接尺度参数,妇间BMI中心化,-0.038967935243138026
312,链接尺度参数,孕周中心化,0.04063624366402273
312,链接尺度参数,孕周二次项,0.005418470632808676
312,链接尺度参数,年龄中心化,-0.01476941077884695
312,链接尺度参数,截距,-2.764970280146241
312,链接尺度参数,生产次数中心化,0.11612089499451825
313,原尺度边际效应（百分点）,个体内BMI,-0.09377632491309956
313,原尺度边际效应（百分点）,妇间BMI,-0.1838485196571128
313,原尺度边际效应（百分点）,孕周平均,0.3693917019192917
313,链接尺度参数,BMI个体内偏差,-0.014455708329932761
313,链接尺度参数,妇间BMI中心化,-0.028340421524472484
313,链接尺度参数,孕周中心化,0.04807969335994252
313,链接尺度参数,孕周二次项,0.005715251796151012
313,链接尺度参数,年龄中心化,-0.0071973307612035586
313,链接尺度参数,截距,-2.7156235565239952
313,链接尺度参数,生产次数中心化,0.22168207568120182
314,原尺度边际效应（百分点）,个体内BMI,0.029798079382780642
314,原尺度边际效应（百分点）,妇间BMI,-0.23381526494483432
314,原尺度边际效应（百分点）,孕周平均,0.3362752519506755
314,链接尺度参数,BMI个体内偏差,0.004623318724334334
314,链接尺度参数,妇间BMI中心化,-0.03627758952408598
314,链接尺度参数,孕周中心化,0.04615049973788741
314,链接尺度参数,孕周二次项,0.003940676310152889
314,链接尺度参数,年龄中心化,-0.01797340214542701
314,链接尺度参数,截距,-2.6918266394504577
314,链接尺度参数,生产次数中心化,0.1102368320506272
315,原尺度边际效应（百分点）,个体内BMI,-0.4010205436445526
315,原尺度边际效应（百分点）,妇间BMI,-0.16353758229286394
315,原尺度边际效应（百分点）,孕周平均,0.36712972202872957
315,链接尺度参数,BMI个体内偏差,-0.0642116086115517
315,链接尺度参数,妇间BMI中心化,-0.026185718896178184
315,链接尺度参数,孕周中心化,0.05093472387987089
315,链接尺度参数,孕周二次项,0.0052334040713352984
315,链接尺度参数,年龄中心化,-0.015140147326399074
315,链接尺度参数,截距,-2.749342061956968
315,链接尺度参数,生产次数中心化,0.1559728120126362
316,原尺度边际效应（百分点）,个体内BMI,0.020289170778019137
